,,,Common Name,Molecular Formula,Molecular Weight (average),Monoisotopic Mass,CAS # (without dashes),Classification 1,Classification 2,"M7412AA = CF, 40-min Method RT","RI (M7412AA = CF, 40-min)","M7411AA = CP, 40-min Method RT","RI (M7411AA = CF, 40-min)","M7412AA = CF, 20-min Method RT","RI (M7412AA = CF, 20-min)","M7414AA = CF, 5x15 Method RT",User Field,Formal CAS #,Common Name,Method RT,ISTD,Precursor Ion,MS1 Resolution,Product Ion,MS2 Resolution,Dwell Time (ms),CE (V),Left RT Delta,Right RT Delta,RT Window,Response Scaled within the Database,Relative Intensity of Transitions,Quant (Q0) and Qual,Target Compounds,Chinese Name,China GB Method Group,Japanese Name,,Synonym(s),,,,,
9-897,9,897,Novaluron,C17H9ClF8N2O4,492.7,492.0123,116714466,Insecticide,Benzoylphenyl urea,6.518,,5.996,,5.376,,4.150,,116714-46-6,Novaluron,5.376,false,214.2,Wide,166.9,Wide,10,15,0.1,0.1,0.1,12,0%,Q9,#N/A,,,,,,,,,,
0-898,0,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,203.0,Wide,107.0,Wide,10,10,0.1,0.1,0.1,730,100%,Q0,#N/A,氟苯嘧啶醇,A,,,,,,,,
1-898,1,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,139.0,Wide,111.0,Wide,10,15,0.1,0.1,0.1,670,92%,Q1,#N/A,氟苯嘧啶醇,A,,,,,,,,
2-898,2,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,235.0,Wide,139.1,Wide,10,15,0.1,0.1,0.1,470,64%,Q2,#N/A,氟苯嘧啶醇,A,,,,,,,,
3-898,3,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,139.0,Wide,75.0,Wide,10,30,0.1,0.1,0.1,400,55%,Q3,#N/A,氟苯嘧啶醇,A,,,,,,,,
4-898,4,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,235.0,Wide,123.1,Wide,10,15,0.1,0.1,0.1,320,44%,Q4,#N/A,氟苯嘧啶醇,A,,,,,,,,
5-898,5,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,203.0,Wide,79.0,Wide,10,25,0.1,0.1,0.1,270,37%,Q5,#N/A,氟苯嘧啶醇,A,,,,,,,,
6-898,6,898,Nuarimol,C17H12ClFN2O,314.8,314.0622,63284719,Fungicide,Pyrimidine,26.767,2389,27.467,2380,13.289,2417,13.496,,63284-71-9,Nuarimol,13.289,false,313.9,Wide,138.9,Wide,10,10,0.1,0.1,0.1,130,18%,Q6,#N/A,氟苯嘧啶醇,A,,,,,,,,
0-899,0,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,129.9,Wide,94.9,Wide,10,20,0.1,0.1,0.1,1710,100%,Q0,#N/A,八氟二丙醚,,,,S421,,,,,
1-899,1,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,108.9,Wide,83.0,Wide,10,10,0.1,0.1,0.1,1000,58%,Q1,#N/A,八氟二丙醚,,,,S421,,,,,
2-899,2,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,108.9,Wide,73.0,Wide,10,15,0.1,0.1,0.1,890,52%,Q2,#N/A,八氟二丙醚,,,,S421,,,,,
3-899,3,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,180.9,Wide,85.0,Wide,10,5,0.1,0.1,0.1,510,30%,Q3,#N/A,八氟二丙醚,,,,S421,,,,,
4-899,4,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,180.9,Wide,83.0,Wide,10,5,0.1,0.1,0.1,490,29%,Q4,#N/A,八氟二丙醚,,,,S421,,,,,
5-899,5,899,Octachlorodipropyl ether,C6H6Cl8O,377.7,373.7927,127902,Synergist,n/a,18.674,1929,17.342,1922,9.418,1952,8.863,,127-90-2,Octachlorodipropyl ether,9.418,false,144.9,Wide,85.0,Wide,10,15,0.1,0.1,0.1,210,12%,Q5,#N/A,八氟二丙醚,,,,S421,,,,,
0-900,0,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,342.8,Wide,307.8,Wide,10,20,0.1,0.1,0.1,5594,100%,Q0,#N/A,,,,,,,,,,
1-900,1,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,307.8,Wide,237.9,Wide,10,40,0.1,0.1,0.1,3432,61%,Q1,#N/A,,,,,,,,,,
2-900,2,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,307.8,Wide,272.8,Wide,10,25,0.1,0.1,0.1,3109,56%,Q2,#N/A,,,,,,,,,,
3-900,3,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,379.8,Wide,309.8,Wide,10,40,0.1,0.1,0.1,2937,53%,Q3,#N/A,,,,,,,,,,
4-900,4,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,379.8,Wide,344.8,Wide,10,15,0.1,0.1,0.1,2779,50%,Q4,#N/A,,,,,,,,,,
5-900,5,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,272.8,Wide,237.8,Wide,10,15,0.1,0.1,0.1,1941,35%,Q5,#N/A,,,,,,,,,,
6-900,6,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,342.8,Wide,272.8,Wide,10,40,0.1,0.1,0.1,1850,33%,Q6,#N/A,,,,,,,,,,
7-900,7,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,272.8,Wide,165.8,Wide,10,40,0.1,0.1,0.1,1507,27%,Q7,#N/A,,,,,,,,,,
8-900,8,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,153.9,Wide,101.4,Wide,10,25,0.1,0.1,0.1,1000,18%,Q8,#N/A,,,,,,,,,,
9-900,9,900,Octachlorostyrene ,C8Cl8,375.8,375.7508,29082744,Pesticide,Organochlorine,20.995,,20.722,,10.512,,10.071,,29082-74-4,Octachlorostyrene ,10.512,false,237.8,Wide,141.8,Wide,10,25,0.1,0.1,0.1,52,1%,Q9,#N/A,,,,,,,,,,
0-901,0,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,101.0,Wide,53.0,Wide,10,25,0.1,0.1,0.1,9410,100%,Q0,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
1-901,1,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,114.0,Wide,86.9,Wide,10,10,0.1,0.1,0.1,9022,96%,Q1,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
2-901,2,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,114.0,Wide,59.0,Wide,10,25,0.1,0.1,0.1,8115,86%,Q2,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
3-901,3,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,101.0,Wide,46.0,Wide,10,10,0.1,0.1,0.1,6919,74%,Q3,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
4-901,4,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,156.0,Wide,55.0,Wide,10,10,0.1,0.1,0.1,2701,29%,Q4,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
5-901,5,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,213.1,Wide,180.1,Wide,10,0,0.1,0.1,0.1,2334,25%,Q5,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
6-901,6,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,114.0,Wide,45.0,Wide,10,40,0.1,0.1,0.1,1693,18%,Q6,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
7-901,7,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,156.0,Wide,114.0,Wide,10,5,0.1,0.1,0.1,1479,16%,Q7,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
8-901,8,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,180.1,Wide,55.0,Wide,10,25,0.1,0.1,0.1,925,10%,Q8,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
9-901,9,901,Octhilinone,C11H19NOS,213.3,213.118729 ,26530201,Fungicide; Microbiocide,Isothiazolone,17.092,,15.366,,8.658,,8.030,,26530-20-1,Octhilinone,8.658,false,128.0,Wide,86.9,Wide,10,10,0.1,0.1,0.1,546,6%,Q9,#N/A,,,,,"3(2H)-Isothiazolone, 2-octyl-",,,,,
0-902,0,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,232.1,Wide,158.1,Wide,10,20,0.1,0.1,0.1,2208,100%,Q0,#N/A,呋酰胺,E,,,,,,,,
1-902,1,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,232.1,Wide,186.1,Wide,10,10,0.1,0.1,0.1,2194,99%,Q1,#N/A,呋酰胺,E,,,,,,,,
2-902,2,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,132.1,Wide,117.1,Wide,10,15,0.1,0.1,0.1,2053,93%,Q2,#N/A,呋酰胺,E,,,,,,,,
3-902,3,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,186.1,Wide,158.1,Wide,10,10,0.1,0.1,0.1,1201,54%,Q3,#N/A,呋酰胺,E,,,,,,,,
4-902,4,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,232.1,Wide,204.1,Wide,10,5,0.1,0.1,0.1,868,39%,Q4,#N/A,呋酰胺,E,,,,,,,,
5-902,5,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,281.0,Wide,232.1,Wide,10,5,0.1,0.1,0.1,595,27%,Q5,#N/A,呋酰胺,E,,,,,,,,
6-902,6,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,186.1,Wide,143.1,Wide,10,25,0.1,0.1,0.1,448,20%,Q6,#N/A,呋酰胺,E,,,,,,,,
7-902,7,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,132.1,Wide,105.1,Wide,10,15,0.1,0.1,0.1,410,19%,Q7,#N/A,呋酰胺,E,,,,,,,,
8-902,8,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,281.0,Wide,186.1,Wide,10,15,0.1,0.1,0.1,330,15%,Q8,#N/A,呋酰胺,E,,,,,,,,
9-902,9,902,Ofurace,C14H16ClNO3,281.0,281.0819,58810483,Fungicide,Anilide,25.798,2329,26.557,2319,12.790,2355,12.862,,58810-48-3,Ofurace,12.790,false,132.1,Wide,77.0,Wide,10,35,0.1,0.1,0.1,311,14%,Q9,#N/A,呋酰胺,E,,,,,,,,
0-903,0,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,110.0,Wide,10,10,0.1,0.1,0.1,600,100%,Q0,Target,氧乐果,,オメトエート,,,,,,,
1-903,1,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,110.0,Wide,79.0,Wide,10,15,0.1,0.1,0.1,517,86%,Q1,Target,氧乐果,,オメトエート,,,,,,,
2-903,2,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,79.0,Wide,10,25,0.1,0.1,0.1,421,70%,Q2,Target,氧乐果,,オメトエート,,,,,,,
3-903,3,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,110.0,Wide,47.0,Wide,10,25,0.1,0.1,0.1,179,30%,Q3,Target,氧乐果,,オメトエート,,,,,,,
4-903,4,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,47.0,Wide,10,40,0.1,0.1,0.1,117,20%,Q4,Target,氧乐果,,オメトエート,,,,,,,
5-903,5,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,110.0,Wide,95.0,Wide,10,10,0.1,0.1,0.1,113,19%,Q5,Target,氧乐果,,オメトエート,,,,,,,
6-903,6,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,141.0,Wide,10,5,0.1,0.1,0.1,103,17%,Q6,Target,氧乐果,,オメトエート,,,,,,,
7-903,7,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,78.9,Wide,47.0,Wide,10,15,0.1,0.1,0.1,82,14%,Q7,Target,氧乐果,,オメトエート,,,,,,,
8-903,8,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,95.0,Wide,10,20,0.1,0.1,0.1,81,13%,Q8,Target,氧乐果,,オメトエート,,,,,,,
9-903,9,903,Omethoate,C5H12NO4PS,213.0,213.0225,1113026,Insecticide,Organophosphorus,12.158,1600,9.967,1601,6.750,1617,5.988,,1113-02-6,Omethoate,6.750,false,156.0,Wide,126.0,Wide,10,5,0.1,0.1,0.1,54,9%,Q9,Target,氧乐果,,オメトエート,,,,,,,
0-904,0,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,100.0,Wide,72.0,Wide,10,5,0.1,0.1,0.1,7470,100%,Q0,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
1-904,1,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,222.0,Wide,100.0,Wide,10,15,0.1,0.1,0.1,1410,19%,Q1,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
2-904,2,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,222.0,Wide,88.0,Wide,10,25,0.1,0.1,0.1,1160,16%,Q2,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
3-904,3,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,125.0,Wide,89.0,Wide,10,15,0.1,0.1,0.1,1000,13%,Q3,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
4-904,4,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,222.0,Wide,116.0,Wide,10,15,0.1,0.1,0.1,890,12%,Q4,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
5-904,5,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,125.0,Wide,99.0,Wide,10,15,0.1,0.1,0.1,540,7%,Q5,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
6-904,6,904,Orbencarb,C12H16ClNOS,257.8,257.0641,34622587,Herbicide,Thiocarbamate,19.017,1947,17.824,1940,9.545,1967,9.012,,34622-58-7,Orbencarb,9.545,false,125.0,Wide,63.0,Wide,10,25,0.1,0.1,0.1,330,4%,Q6,#N/A,坪草丹,,オルソベンカルブ,,,,,,,
0-905,0,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,316.8,Wide,274.9,Wide,10,5,0.1,0.1,0.1,1040,100%,Q0,#N/A,氨磺乐灵,,オリザリン,,,,,,,
1-905,1,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,275.0,Wide,217.0,Wide,10,5,0.1,0.1,0.1,310,30%,Q1,#N/A,氨磺乐灵,,オリザリン,,,,,,,
2-905,2,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,258.0,Wide,193.9,Wide,10,5,0.1,0.1,0.1,240,23%,Q2,#N/A,氨磺乐灵,,オリザリン,,,,,,,
3-905,3,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,316.8,Wide,257.8,Wide,10,10,0.1,0.1,0.1,210,20%,Q3,#N/A,氨磺乐灵,,オリザリン,,,,,,,
4-905,4,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,275.0,Wide,193.9,Wide,10,10,0.1,0.1,0.1,200,19%,Q4,#N/A,氨磺乐灵,,オリザリン,,,,,,,
5-905,5,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,258.0,Wide,209.9,Wide,10,5,0.1,0.1,0.1,200,19%,Q5,#N/A,氨磺乐灵,,オリザリン,,,,,,,
6-905,6,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,301.0,Wide,258.8,Wide,10,5,0.1,0.1,0.1,160,15%,Q6,#N/A,氨磺乐灵,,オリザリン,,,,,,,
7-905,7,905,Oryzalin,C12H18N4O6S,346.4,346.0947,19044883,Herbicide,"2,6-Dinitroaniline",31.489,2700,31.304,2695,15.513,2711,15.137,,19044-88-3,Oryzalin,15.513,false,275.0,Wide,200.9,Wide,10,10,0.1,0.1,0.1,150,14%,Q7,#N/A,氨磺乐灵,,オリザリン,,,,,,,
0-906,0,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,103.0,Wide,76.0,Wide,10,10,0.1,0.1,0.1,2330,100%,Q0,#N/A,解草腈,,,,,,,,,
1-906,1,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,103.0,Wide,50.0,Wide,10,25,0.1,0.1,0.1,1040,45%,Q1,#N/A,解草腈,,,,,,,,,
2-906,2,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,73.0,Wide,45.0,Wide,10,10,0.1,0.1,0.1,940,40%,Q2,#N/A,解草腈,,,,,,,,,
3-906,3,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,128.9,Wide,77.0,Wide,10,10,0.1,0.1,0.1,20,1%,Q3,#N/A,解草腈,,,,,,,,,
4-906,4,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,128.9,Wide,101.9,Wide,10,15,0.1,0.1,0.1,20,1%,Q4,#N/A,解草腈,,,,,,,,,
5-906,5,906,Oxabetrinil,C12H12N2O3,232.2,232.0848,74782233,Herbicide safener,n/a,17.108,1848,15.300,1843,8.666,1862,7.991,,74782-23-3,Oxabetrinil,8.666,false,128.9,Wide,51.0,Wide,10,30,0.1,0.1,0.1,10,0%,Q5,#N/A,解草腈,,,,,,,,,
0-907,0,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,174.9,Wide,112.0,Wide,10,15,0.1,0.1,0.1,1940,100%,Q0,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
1-907,1,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,174.9,Wide,76.0,Wide,10,35,0.1,0.1,0.1,690,36%,Q1,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
2-907,2,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,257.8,Wide,175.1,Wide,10,5,0.1,0.1,0.1,650,34%,Q2,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
3-907,3,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,176.9,Wide,112.0,Wide,10,15,0.1,0.1,0.1,630,32%,Q3,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
4-907,4,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,176.9,Wide,114.0,Wide,10,15,0.1,0.1,0.1,620,32%,Q4,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
5-907,5,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,176.9,Wide,76.1,Wide,10,35,0.1,0.1,0.1,450,23%,Q5,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
6-907,6,907,Oxadiazon,C15H18Cl2N2O3,345.2,344.0694,19666309,Herbicide,Oxadiazolone,23.666,2202,24.456,2198,11.627,2213,11.563,,19666-30-9,Oxadiazon,11.627,false,301.8,Wide,175.0,Wide,10,15,0.1,0.1,0.1,400,21%,Q6,#N/A,噁草酮,A,オキサジアゾン,,,,,,,
